ref_number,disclosure_group,title_en,title_fr,name,purpose_en,purpose_fr,start_date,end_date,destination_en,destination_fr,airfare,other_transport,lodging,meals,other_expenses,total,additional_comments_en,additional_comments_fr,owner_org,owner_org_title
T-20120-P11-001,SLE,Chief Executive Officer,Président directeur-général,Philip Rizcallah,To attend meeting with Saskatchewan Provincial Government,Pour assister à une réunion avec le gouvernement provincial de la Saskatchewan,2020-02-03,2020-02-04,"Regina, Saskatchewan, Canada","Regina, Saskatchewan, Canada",646.17,117.26,157.78,197.25,0,1118.46,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P11-0001,SLE,Chair,Président,"Bérubé, Paul-Claude",Board members meeting,Réunion du conseil ,2020-02-09,2020-02-13,"Vancouver, British Columbia, Canada","Vancouver, Colombie-Britannique",1104.27,189.72,841.31,461.84,,2597.14,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P11-0002,SLE,Vice Chair,vice-présidente,"Reid, Mary",Board members meeting,Réunion du conseil ,2020-02-09,2020-02-14,"Vancouver, British Columbia, Canada","Vancouver, Colombie-Britannique",2511.31,132.48,785.65,591,108.3,4128.74,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P11-0003,SLE,Board Of Directors,Membre du conseil de direction,"McLaughlin, Joseph",Board members meeting,Réunion du conseil ,2020-02-09,2020-02-12,"Vancouver, British Columbia, Canada","Vancouver, Colombie-Britannique",,58.32,630.99,264.6,123,1076.91,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P11-0004,SLE,Board Of Directors ,Membre du conseil de direction,"Haan, Maureen",Board members meeting,Réunion du conseil ,2020-02-09,2020-02-12,"Vancouver, British Columbia, Canada","Vancouver, Colombie-Britannique",880.99,192.76,630.99,332.45,,2037.19,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P11-0005,SLE,Board Of Directors,Membre du conseil de direction,"Hartin, Penny ",Board members meeting,Réunion du conseil ,2020-02-09,2020-02-12,"Vancouver, British Columbia, Canada","Vancouver, Colombie-Britannique",935.23,117.3,630.99,353.05,,2036.57,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P11-0006,SLE,Board Of Directors,Membre du conseil de direction,"Earle, Kory",Board members meeting,Réunion du conseil ,2020-02-09,2020-02-12,"Vancouver, British Columbia, Canada","Vancouver, Colombie-Britannique",949.11,,630.99,373.4,,1953.5,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P11-0007,SLE,Board Of Directors,Membre du conseil de direction,"Ringaert, Laurie",Board members meeting,Réunion du conseil ,2020-02-09,2020-02-12,"Vancouver, British Columbia, Canada","Vancouver, Colombie-Britannique",662.91,128.43,630.99,332.45,,1754.78,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P11-0008,SLE,Board Of Directors,Membre du conseil de direction,"Khedr, Rabia",Board members meeting,Réunion du conseil ,2020-02-09,2020-02-12,"Vancouver, British Columbia, Canada","Vancouver, Colombie-Britannique",935.23,118.3,630.99,353.05,,2037.57,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P11-0009,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Board members meeting,Réunion du conseil ,2020-02-09,2020-02-14,"Vancouver, British Columbia, Canada","Vancouver, Colombie-Britannique",1313.32,342.77,970.75,591,313,3530.84,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
